transaction_id,customer_id,order_date,amount,quantity,channel
T004328,C00130,16/09/2024,$53.34,2,In-Store
T001774, C00390 ,28/02/2024,163.16,1,WEB 
T006226,C00890,07/07/2024,41.07,3,Web
T004015,C00500,19/08/2024,123.18,4,web
T001700,C00776,"August 15, 2024",188.45,2,Mobile
T001169,C00207,2024-09-06, 136.78 ,1,Mobile
T004080, C00378 ,2024-01-10,$57.15,  ,WEB 
T006892,C00089,2024-09-07,$14.96,3,Mobile
T006069,C00273,2024-08-16T06:05:00Z,44.14,3, mobile
T002352, C00193 ,"July 9, 2024",$102.86,2,web
T006679,C00825,"May 27, 2024",$125.35,2,Web
T007913,C00133,2024-06-22T20:23:00Z,$122.66,4,Mobile
T004679,C00503,2024-08-22,59.47,5,Mobile
T007626,C00560,2024-07-24T09:27:00Z,178.68,3,web
T005311,C00051,13/02/2024,$119.62,2,In-Store
T004748,C00608,2024-10-12,$19.88,1,In-Store
T002321,C00435,16/05/2024,69.06,4,in-store
T004228,C00572,2024-06-11T17:16:00Z,190.59,4,WEB 
T005915,C00313,2024-10-24,$128.81,5,Mobile
T000522,C00384,"January 19, 2024",$157.08,1,in-store
T004797,C00253,2024-03-23, 150.38 ,2,Mobile
T006317,C00107,2024-04-01,122.57,null,in-store
T006579,C00860,2024-02-04, 114.13 ,3, mobile
T005028, C00673 ,19/01/2024, 90.26 ,1,WEB 
T003420,C00247,03/06/2024, 58.90 ,5,In-Store
T006572,C00244,2024-01-07T19:00:00Z,$167.72,4,in-store
T000748,C00006,"May 18, 2024",201.19,3,Mobile
T002748,C00622,"July 10, 2024",$271.28,5,WEB 
T002134,C00661,2024-10-27,165.77,3,web
T001256,C00328,2024-03-28,158.69,5, mobile
T007187,C00386,"December 1, 2024",$121.04,1,web
T001973,C00132,"July 5, 2024", 65.87 ,3,in-store
T005864,C00058,2024-07-24T22:21:00Z, 180.60 ,5,In-Store
T001257,C00333,2024-01-25T03:01:00Z,140.62,5, mobile
T002037,C00113,25/01/2024,1.00,4, mobile
T000978,C00434,2024-07-01,$124.88,2,Web
T001329,C00549,10/02/2024, 125.36 ,1, mobile
T006917, C00104 ,2024-08-25,51.28,2,in-store
T001275,C00649,02/03/2024,109.64,2,in-store
T003937,C00648,2024-03-17T10:37:00Z, 84.68 ,4,In-Store
T000995, C00288 ,06/09/2024,80.80,3, mobile
T006238,C00679,2024-02-25T14:38:00Z,$101.61,4,in-store
T003865,C00898,2024-07-23T10:56:00Z, 61.29 ,5, mobile
T001943, C00465 ,03/10/2024, 158.41 ,3,web
T005275,C00033,"December 10, 2024", 118.76 ,4,Mobile
T002609,C00691,"February 21, 2024", 122.87 ,2, mobile
T000599,C00020,2024-06-24,95.29,3,WEB 
T004870,C00596,2024-02-16,$210.47,3,in-store
T006150,C00395,2024-09-02T11:32:00Z, 65.26 ,1,Mobile
T001555,C00143,"January 1, 2024",157.36,1,WEB 
T000262,C00115,2024-03-11T19:58:00Z,$207.12,4,web
T001769,C00119,2024-12-19,$152.44,3,WEB 
T002778,C00299,28/04/2024, 154.46 ,3,Mobile
T003111,C00302,24/10/2024,$195.40,2,WEB 
T007279,C00178,2024-04-13T17:27:00Z,123.96,2, mobile
T007117,C00861,2024-12-26,$173.18,2,web
T007146,C00553,2024-09-06T12:33:00Z,127.74,NA,WEB 
T002670,C00169,19/02/2024,$89.00,5,Mobile
T005568,C00541,16/03/2024,183.04,5,in-store
T001867,C00485,2024-12-09, 43.03 ,2,In-Store
T005375,C00478,"February 9, 2024",175.70,4,Web
T003064,C00527,19/06/2024,74.60,4, mobile
T000446,C00253,"December 9, 2024",125.91,3,In-Store
T001609,C00088,28/12/2024,$195.02,5, mobile
T007134,C00892,2024-11-07,$163.37,1,Mobile
T006334, C00864 ,2024-03-24,138.15,5, mobile
T007834,C00506,2024-12-03T06:21:00Z,$146.77,3, mobile
T004409,C00731,"April 23, 2024",$34.28,3,Mobile
T005511,C00525,2024-10-14,$107.68,2,Web
T006729,C00739,"October 7, 2024",193.11,null,web
T006601,C00857,"November 2, 2024", 135.96 ,1,in-store
T004901,C00621,"November 22, 2024", 150.73 ,1,Web
T001905,C00004,"October 7, 2024",$184.69,3,In-Store
T000632,C00165,2024-04-28, 127.88 ,2,In-Store
T005483,C00708,28/04/2024,73.57,3,web
T006256, C00520 ,2024-07-17,111.66,2,Mobile
T007591,C00085,"August 13, 2024",77.27,4,Web
T004490,C00555,05/03/2024,$231.74,3,web
T000615,C00427,2024-11-04T20:23:00Z, 139.82 ,1,In-Store
T005028, C00673 ,19/01/2024, 90.26 ,1,WEB 
T002467,C00355,"August 16, 2024",$12.17,NA,web
T005054, C00329 ,2024-06-19, 223.21 ,2,web
T004996,C00893,2024-09-17T07:45:00Z,$165.49,1,Mobile
T005751,C00219,"August 1, 2024", 30.11 ,NA,web
T000221,C00309,2024-08-24, 73.79 ,3,In-Store
T006638,C00652,"February 25, 2024",112.13,4,In-Store
T002182,C00364,28/02/2024,160.80,2, mobile
T002692, C00759 ,"May 28, 2024", 93.29 ,1,in-store
T004919,C00662,"April 23, 2024",82.21,  ,in-store
T002250,C00736,"October 11, 2024", 184.51 ,2,Web
T006557,C00089,"July 1, 2024",72.53,2, mobile
T003938, C00824 ,"September 23, 2024",123.03,3,in-store
T003917,C00069,"October 8, 2024",130.76,1, mobile
T003170,C00623,16/10/2024, 129.75 ,5,WEB 
T005951,C00309,2024-01-12, 88.25 ,3,web
T004546,C00708,2024-02-14,$1.00,1,web
T002189,C00650,"May 22, 2024",$375.14,5,web
T007943,C00355,04/12/2024,$207.04,4,Mobile
T000866,C00320,2024-11-18,$103.78,3,web
T005145,C00684,"February 22, 2024",$1.00,1,WEB 
T002665,C00286,"September 18, 2024", 118.08 ,2,In-Store
T004566,C00738,2024-08-26T13:22:00Z,$83.48,2,Web
T000151,C00659,"November 25, 2024", 177.16 ,5,In-Store
T003293,C00425,2024-08-05, 143.94 ,1,In-Store
T002562,C00370,2024-11-14,282.85,2, mobile
T002872,C00074,2024-02-17, 61.76 ,3,Web
T003872,C00787,2024-07-04T21:46:00Z,$115.31,1,web
T005333,C00662,2024-08-16,220.24,1,in-store
T003503,C00632,2024-07-04T08:32:00Z,103.35,3,WEB 
T006274, C00627 ,28/06/2024, 66.85 ,3,Web
T007251,C00468,2024-03-03,80.06,5,In-Store
T004794,C00531,"July 13, 2024", 67.87 ,4,in-store
T007050,C00309,2024-03-11, 128.29 ,1, mobile
T001762,C00665,2024-02-11,140.44,1,in-store
T000876,C00699,28/02/2024, 125.16 ,3,In-Store
T007936,C00423,2024-10-17T22:42:00Z,1.00,5,WEB 
T001343, C00751 ,2024-07-26T17:54:00Z,$139.42,4,In-Store
T006300,C00344,21/06/2024,69.26,3,In-Store
T005389,C00346,2024-04-17T19:08:00Z, 87.66 ,5,Mobile
T001836,C00763,2024-07-28, 119.89 ,1,Mobile
T002903,C00240,2024-09-08,73.91,1,in-store
T007229,C00055,2024-10-26,126.86,5,web
T000159,C00727,2024-03-02,137.53,1,In-Store
T006520,C00694,2024-02-25T17:55:00Z,$169.39,4,Mobile
T002076,C00387,20/04/2024,104.85,2, mobile
T005496,C00217,2024-09-27,$219.94,3,in-store
T002060, C00753 ,"November 5, 2024",108.20,3,web
T000084,C00815,27/12/2024,89.04,1,web
T007167,C00322,"September 23, 2024", 109.13 ,1, mobile
T007732,C00054,2024-04-15, 32.43 ,2,Mobile
T002515,C00757,"June 23, 2024",85.65,3,In-Store
T007891,C00448,2024-11-11T11:01:00Z,$199.27,1,web
T006243,C00450,"June 2, 2024", 200.44 ,4,in-store
T003331,C00098,2024-09-03, 64.82 ,4,In-Store
T002596, C00731 ,2024-03-04T11:18:00Z,246.12,3,Web
T004871,C00467,2024-08-12T04:02:00Z,134.30,1,Web
T001352, C00171 ,"December 14, 2024",$170.98,5, mobile
T005500,C00585,2024-08-08T08:56:00Z,137.71,2, mobile
T007175,C00781,12/08/2024,$175.91,1, mobile
T001578,C00775,2024-04-20T04:57:00Z,$101.35,N/A, mobile
T002487,C00055,2024-03-09,275.09,1,Mobile
T001424,C00460,10/05/2024,$158.44,1,WEB 
T006596,C00830,24/11/2024, 181.31 ,1,In-Store
T001003,C00140,2024-05-16,206.22,,web
T000379,C00033,2024-01-24T12:06:00Z, 239.14 ,5,WEB 
T006776,C00284,2024-07-24T19:14:00Z, 154.59 ,3,in-store
T005792,C00409,"August 8, 2024",$51.74,4,Web
T007731, C00384 ,2024-01-17T19:52:00Z,114.16,2,WEB 
T003994,C00608,2024-06-09,163.37,2,Mobile
T003074,C00442,"August 12, 2024",$122.76,4,Mobile
T004990, C00580 ,2024-08-28,$51.36,3,web
T006927,C00796,2024-08-21T23:16:00Z, 141.86 ,5,web
T006901,C00879,"October 17, 2024",63.87,5,Mobile
T003341,C00852,2024-06-13T13:11:00Z,$169.16,3,In-Store
T000128,C00391,"April 22, 2024",181.42,5,in-store
T002677,C00312,2024-05-26T02:47:00Z,111.11,3,In-Store
T004846,C00262,2024-02-16,$91.07,2,WEB 
T007624,C00060,02/06/2024,229.32,1,Web
T007590,C00158,"October 9, 2024", 51.70 ,4,WEB 
T005440,C00364,"January 25, 2024",163.22,2,Mobile
T006929,C00661,"May 2, 2024",$25.68,1,Mobile
T007450,C00884,2024-02-05, 103.52 ,1,In-Store
T006025,C00191,15/07/2024, 130.40 ,2,in-store
T005132,C00367,2024-08-28T12:59:00Z, 149.59 ,5,Mobile
T005149,C00704,2024-02-13, 90.24 ,2,Web
T000721,C00837,2024-12-28,140.64,4,in-store
T004227,C00704,2024-02-12,$182.20,1,in-store
T006481,C00451,"September 14, 2024",$1.00,5,Mobile
T007614,C00461,2024-07-20T20:01:00Z, 218.58 ,5,web
T003389,C00704,2024-05-13,$155.87,5, mobile
T005371,C00043,2024-11-24,148.19,2, mobile
T002322,C00624,2024-09-14,145.14,3,WEB 
T000013,C00145,2024-01-06, 168.31 ,5,Mobile
T007858,C00389,28/08/2024, 85.88 ,1,In-Store
T002696,C00808,2024-05-20, 98.03 ,2,In-Store
T001504,C00848,14/11/2024,132.10,1,WEB 
T002444,C00214,02/02/2024,$194.06,1, mobile
T001809,C00544,"May 6, 2024", 110.51 ,5,In-Store
T005690,C00280,2024-05-22, 132.41 ,3,web
T006315,C00851,2024-07-02T16:13:00Z,50.35,5,web
T003613, C00527 ,28/05/2024, 216.02 ,4, mobile
T004969,C00108,2024-02-03,196.42,5, mobile
T003323,C00636,"October 10, 2024",$139.94,5,web
T003545,C00604,2024-04-09, 117.15 ,5, mobile
T005559,C00834,2024-06-01T13:58:00Z,116.92,3,web
T002262,C00415,"February 16, 2024",$125.91,3,Web
T002814,C00318,20/08/2024, 83.53 ,5,WEB 
T006208,C00136,2024-04-03T03:08:00Z,78.52,1,Web
T007680,C00187,2024-12-26T15:25:00Z,$140.81,3,WEB 
T000101,C00483,2024-12-03T22:32:00Z,86.45,5,Mobile
T002961,C00107,03/10/2024,$81.43,2,Web
T005867,C00684,28/08/2024,$235.11,4, mobile
T003322,C00389,2024-08-18,1.00,2,web
T004457,C00040,2024-03-26T03:29:00Z,$96.82,NA,in-store
T005567,C00599,"May 11, 2024",$170.56,4,Mobile
T000804,C00079,2024-02-11,$149.74,3,WEB 
T007965,C00235,09/01/2024,$107.62,4,Web
T002736,C00510,2024-04-12,125.58,3,Web
T006293,C00554,"April 22, 2024", 106.78 ,1, mobile
T005711,C00832,2024-12-24T01:55:00Z,106.29,4,In-Store
T002816,C00674,"February 14, 2024",156.88,,In-Store
T004381,C00098,2024-09-23T17:47:00Z,$69.68,2,Web
T002360,C00306,2024-04-17,$166.74,2,web
T003912,C00117,02/07/2024,$122.99,2,Web
T006429,C00268,2024-02-10,50.18,2,Web
T001759,C00886,26/11/2024,$150.80,3,in-store
T004288,C00819,2024-06-08,$90.46,3,in-store
T000922,C00884,"August 22, 2024",119.61,4,web
T000857,C00736,2024-07-04,$194.19,5,WEB 
T004252,C00664,2024-04-15,$150.17,3,WEB 
T002634,C00435,2024-05-15T19:23:00Z,107.71,4,WEB 
T007342, C00074 ,"January 28, 2024",$50.50,4,Mobile
T007478,C00073,2024-09-22T09:02:00Z, 26.65 ,1,WEB 
T007102,C00587,2024-08-21T01:39:00Z, 72.76 ,4,Mobile
T001388,C00272,"January 13, 2024",218.96,2,in-store
T000369,C00443,01/10/2024,51.62,5, mobile
T005116, C00495 ,2024-05-27, 177.41 ,4,Mobile
T001500,C00332,08/12/2024, 162.05 ,3,web
T004369,C00058,"October 2, 2024",102.39,1,web
T001477, C00547 ,2024-07-24T06:18:00Z,144.91,1,Web
T007508,C00039,"June 14, 2024",93.84,2,Mobile
T006102,C00223,"August 7, 2024",100.48,3,Mobile
T001293, C00039 ,2024-09-20, 1.00 ,1,Mobile
T000549,C00198,"October 24, 2024",153.53,2,Mobile
T005871,C00082,11/08/2024,143.58,1,in-store
T004877,C00197,2024-10-02,$73.31,4, mobile
T002912,C00638,2024-05-24T06:21:00Z,147.14,1,In-Store
T002362,C00426,2024-10-04T03:00:00Z,$66.96,4,WEB 
T001211,C00668,"February 24, 2024", 240.57 ,1,Mobile
T002562,C00370,2024-11-14,282.85,2, mobile
T005290,C00411,2024-11-24,$1.00,2,in-store
T000998,C00469,2024-03-05, 128.35 ,4, mobile
T004725, C00772 ,22/01/2024, 146.35 ,5,WEB 
T000088,C00675,2024-05-09,138.65,5, mobile
T003787,C00108,"December 21, 2024",78.53,5,In-Store
T000685,C00625,2024-03-22,117.09,4,WEB 
T003229,C00482,2024-02-28,$184.72,5, mobile
T006423,C00165,12/10/2024,108.59,4,in-store
T004505,C00541,2024-04-04T07:52:00Z, 47.90 ,5,WEB 
T001225,C00396,2024-05-09T20:08:00Z,$203.14,5,In-Store
T002018,C00612,15/06/2024,$121.72,4, mobile
T002931,C00035,2024-01-07T18:22:00Z, 82.38 ,2,web
T004937,C00385,21/02/2024,$90.59,4,Web
T005674,C00900,12/04/2024,184.44,1,WEB 
T004290,C00432,2024-02-01T17:33:00Z,$162.69,3,Mobile
T000539,C00504,2024-03-27,$231.33,3,Mobile
T000878,C00311,"September 28, 2024",102.39,5,In-Store
T000026,C00103,"May 1, 2024",$95.17,3,Web
T007979,C00632,2024-05-28T02:32:00Z, 76.35 ,4,Mobile
T000530,C00180,"May 2, 2024", 167.89 ,1, mobile
T005273, C00441 ,2024-11-14T20:29:00Z,182.50,2,in-store
T004837,C00024,"December 18, 2024",105.48,N/A,Web
T002203, C00477 ,"June 6, 2024", 84.36 ,2,web
T000621,C00759,26/10/2024,$141.51,5,Mobile
T000905,C00748,2024-08-08,61.87,3,in-store
T003307,C00347,14/07/2024,161.98,2,WEB 
T000106,C00051,2024-06-18T18:54:00Z,$185.56,3,web
T004760,C00165,"November 14, 2024", 260.65 ,1,Mobile
T005905,C00867,2024-09-11T16:18:00Z, 57.13 ,1,In-Store
T000297, C00284 ,25/09/2024, 167.57 ,2,Mobile
T007298,C00681,2024-07-22T21:19:00Z, 81.14 ,5,Mobile
T003375,C00590,2024-08-06,21.27,5,web
T000935,C00870,2024-12-21T05:28:00Z, 35.60 ,N/A,in-store
T003206,C00818,"March 23, 2024",96.25,2,in-store
T002739,C00302,2024-09-03T16:13:00Z,$185.53,5,web
T006345,C00168,2024-05-21T12:25:00Z,$96.37,null,Mobile
T003228,C00284,"February 13, 2024",75.48,1, mobile
T005002,C00892,"August 11, 2024", 159.91 ,5, mobile
T007694,C00673,"November 26, 2024",81.11,1,Mobile
T000731,C00648,2024-02-10, 192.08 ,2, mobile
T002788, C00032 ,2024-12-01T08:39:00Z,109.72,2,Mobile
T007806,C00710,2024-08-06T13:43:00Z,$56.15,2,WEB 
T000514,C00177,04/03/2024,$155.27,5,In-Store
T002275,C00095,2024-08-10,$104.91,5,WEB 
T001224,C00146,2024-08-19T18:10:00Z,$122.63,5,WEB 
T006458,C00461,28/04/2024, 23.53 ,5,Mobile
T007548,C00244,2024-04-22T15:19:00Z,$177.95,4,In-Store
T004688,C00756,2024-03-01,131.92,5,in-store
T004543,C00873,2024-01-23,$90.86,5,in-store
T002064,C00873,2024-12-07, 133.72 ,3, mobile
T006939,C00238,03/04/2024,250.99,1,In-Store
T003202,C00146,"November 26, 2024",79.16,5, mobile
T004333,C00540,2024-04-13,182.76,4,In-Store
T001160,C00272,"October 18, 2024",$211.50,2,web
T007189, C00667 ,"September 2, 2024",185.90,2,WEB 
T003651, C00646 ,2024-08-03T12:29:00Z, 186.81 ,5, mobile
T000043,C00015,2024-04-16T15:55:00Z,$167.90,4, mobile
T004146,C00621,2024-08-05,166.22,3,Web
T001595,C00560,"September 18, 2024",136.77,2,In-Store
T001873,C00721,28/07/2024,121.54,1,Mobile
T004544,C00304,"May 12, 2024", 28.80 ,1,Web
T003215,C00297,2024-03-16,$223.04,3,Mobile
T002458,C00073,"March 18, 2024",$1.00,5,In-Store
T005513,C00873,"February 11, 2024",$141.21,2,in-store
T000697,C00058,2024-08-19,210.50,3,Web
T006807,C00664,"March 13, 2024", 107.28 ,2,web
T001624,C00890,"August 26, 2024", 111.09 ,4,web
T007949,C00311,"May 7, 2024", 143.93 ,1, mobile
T005665,C00412,"September 18, 2024",$32.42,3,In-Store
T000177,C00547,2024-07-09T06:23:00Z,147.96,4,Web
T001310,C00136,2024-03-13T03:05:00Z, 176.01 ,3, mobile
T007219,C00685,23/02/2024,41.63,1,web
T006347, C00225 ,2024-01-14T14:09:00Z,$14.69,5,In-Store
T007830,C00065,2024-10-11,74.17,3,web
T001854,C00029,2024-04-07T14:52:00Z, 77.39 ,4,web
T006797,C00473,2024-08-24,$132.45,3,Mobile
T005110,C00113,"October 25, 2024", 32.86 ,5,In-Store
T004041,C00073,"March 5, 2024", 189.91 ,1,in-store
T004268,C00424,"July 11, 2024",72.53,2,Mobile
T001831,C00100,2024-10-02,108.59,1,in-store
T001800,C00318,2024-06-11,48.67,3, mobile
T007855,C00171,2024-07-19, 135.99 ,5,In-Store
T005652,C00024,2024-10-15, 133.02 ,4,In-Store
T002424,C00119,2024-05-12,140.62,3,web
T005862,C00394,2024-08-23T01:23:00Z,187.21,5,WEB 
T004275,C00144,2024-12-23T18:44:00Z,$72.31,5,Mobile
T005324,C00528,2024-09-26,$193.66,1,web
T001621,C00668,"March 25, 2024",$120.96,NA,Web
T001280,C00219,"May 10, 2024",$61.67,2,in-store
T003479,C00875,"January 9, 2024",$158.22,2,in-store
T000088,C00675,2024-05-09,138.65,5, mobile
T003480,C00814,2024-02-15,86.61,5,In-Store
T000758,C00673,2024-11-04T10:28:00Z,109.26,1,in-store
T007083,C00825,"August 16, 2024",$101.46,4,In-Store
T006109,C00131,2024-01-14T07:59:00Z,84.68,3,in-store
T000528,C00190,"October 6, 2024",$68.66,5,Mobile
T001899,C00467,2024-10-18T04:42:00Z, 155.06 ,4,in-store
T000627,C00592,2024-04-15,$211.17,3,in-store
T003137,C00124,2024-02-02T07:40:00Z,65.72,1, mobile
T007515,C00012,04/04/2024,$109.05,2,WEB 
T002269,C00153,2024-02-22,$103.51,4,WEB 
T001172,C00891,2024-08-18T09:44:00Z,$121.41,4,WEB 
T005603,C00454,"March 12, 2024",$103.53,1,WEB 
T004918, C00103 ,"September 20, 2024",176.60,5,Web
T006253,C00356,2024-10-13T18:45:00Z, 165.62 ,4,WEB 
T004601,C00120,22/05/2024,241.55,2,WEB 
T005897,C00830,18/02/2024,194.46,5,web
T001924,C00894,2024-09-25T07:51:00Z,$158.18,5,WEB 
T002716,C00061,08/06/2024, 165.24 ,4, mobile
T003484,C00059,2024-12-25,$49.65,5, mobile
T006175,C00498,2024-02-26,$239.94,3,web
T000882,C00825,2024-10-28,$143.08,3,Mobile
T002325, C00471 ,05/09/2024, 111.37 ,5,Mobile
T007039,C00407,27/02/2024,85.92,5,Mobile
T002814,C00318,20/08/2024, 83.53 ,5,WEB 
T003965,C00798,08/02/2024, 128.39 ,4, mobile
T005542,C00286,2024-08-19T05:37:00Z,21.48,2,Web
T005916,C00597,2024-11-22T22:49:00Z, 149.74 ,3,in-store
T005811,C00074,2024-02-20T14:16:00Z, 19.45 ,4,in-store
T003177, C00093 ,24/02/2024,123.38,1,in-store
T004207,C00398,2024-06-27,184.92,3,Mobile
T007293,C00144,2024-06-17,133.32,  ,In-Store
T002125,C00258,2024-11-11, 154.44 ,4, mobile
T004247,C00835,2024-05-06T22:41:00Z, 203.17 ,4,web
T003978,C00487,2024-05-07,$131.11,5,in-store
T000915,C00546,2024-07-26,$66.05,4,WEB 
T001489,C00481,24/10/2024,105.04,1,Mobile
T001967,C00880,2024-12-20T06:02:00Z,$241.20,5,web
T003179,C00260,12/03/2024,$193.43,5,WEB 
T006925, C00883 ,2024-09-10T10:53:00Z,191.99,1,Web
T005004, C00152 ,2024-11-07T15:56:00Z,$104.29,2,Web
T007944,C00085,04/04/2024, 84.13 ,5,in-store
T004201,C00203,12/04/2024, 42.17 ,1,in-store
T005270,C00793,"March 2, 2024",$163.19,5,In-Store
T006165,C00286,"September 4, 2024",$191.64,4,Web
T004551,C00126,2024-11-05, 215.22 ,2,WEB 
T004155,C00853,19/12/2024, 112.51 ,3,Web
T007723,C00425,2024-12-27,138.04,4,Web
T007683,C00277,2024-03-10T02:18:00Z,139.51,5,WEB 
T004188,C00070,20/05/2024,146.77,4,Web
T007004,C00582,"July 12, 2024", 154.55 ,4,Mobile
T004406,C00274,07/07/2024, 123.57 ,5,WEB 
T002211,C00141,2024-12-26T11:56:00Z,$79.17,2,Web
T000399,C00434,2024-09-12, 176.67 ,3,WEB 
T000849,C00340,"August 27, 2024", 126.32 ,4,WEB 
T006668,C00081,2024-10-18, 146.00 ,3,Mobile
T007818, C00183 ,2024-02-26T05:16:00Z, 195.71 ,1,web
T003131,C00038,26/08/2024,$154.31,1,In-Store
T001222,C00315,2024-12-05T23:18:00Z,$114.65,3,In-Store
T007193,C00639,2024-05-04,197.27,null, mobile
T007406,C00479,2024-02-26,82.57,3,in-store
